,0,1,2,3,4,5,6,7,8,9,10,11
109,3,1,12,1,0,0,181,1101,853,289,-1,
110,4,1,12,1,1,0,480,1101,554,22,-1,
111,5,1,12,1,1,1,480,1101,554,22,95.000000, 
112,4,1,12,1,2,0,182,1123,852,36,-1,
113,5,1,12,1,2,1,182,1123,852,36,95.000000,  
114,4,1,12,1,3,0,186,1214,3,50,-1,
115,5,1,12,1,3,1,186,1214,3,50,95.000000, 
116,4,1,12,1,4,0,181,1292,176,56,-1,
117,5,1,12,1,4,1,181,1292,176,56,95.000000,   
118,4,1,12,1,5,0,181,1348,158,42,-1,
119,5,1,12,1,5,1,181,1348,158,42,95.000000,  
120,2,1,13,0,0,0,565,1126,476,236,-1,
121,3,1,13,1,0,0,565,1126,476,236,-1,
122,4,1,13,1,1,0,565,1126,476,236,-1,
123,5,1,13,1,1,1,565,1126,476,236,95.000000,  
124,2,1,14,0,0,0,355,1206,208,55,-1,
125,3,1,14,1,0,0,355,1206,208,55,-1,
126,4,1,14,1,1,0,357,1206,206,22,-1,
127,5,1,14,1,1,1,357,1206,98,22,34.210037,1/2°-CI-SS_
128,5,1,14,1,1,2,466,1208,29,16,84.705818,316
129,5,1,14,1,1,3,506,1208,57,16,90.488899,TUBNG
130,4,1,14,1,2,0,355,1244,176,17,-1,
131,5,1,14,1,2,1,355,1244,89,16,95.902092,CORROSION
132,5,1,14,1,2,2,456,1244,75,17,47.354889,INHIBITOR
133,2,1,15,0,0,0,335,1214,22,25,-1,
134,3,1,15,1,0,0,335,1214,22,25,-1,
135,4,1,15,1,1,0,335,1214,22,25,-1,
136,5,1,15,1,1,1,335,1214,22,25,95.000000,  
137,2,1,16,0,0,0,220,1226,69,17,-1,
138,3,1,16,1,0,0,220,1226,69,17,-1,
139,4,1,16,1,1,0,220,1226,69,17,-1,
140,5,1,16,1,1,1,220,1226,69,17,36.280258,01-0132
141,2,1,17,0,0,0,335,1239,1268,25,-1,
142,3,1,17,1,0,0,335,1239,1268,25,-1,
143,4,1,17,1,1,0,335,1239,1268,25,-1,
144,5,1,17,1,1,1,335,1239,1,25,95.000000, 
145,5,1,17,1,1,2,944,1239,659,25,95.000000, 
146,2,1,18,0,0,0,944,1264,1065,17,-1,
147,3,1,18,1,0,0,944,1264,1065,17,-1,
148,4,1,18,1,1,0,944,1264,1065,17,-1,
149,5,1,18,1,1,1,944,1264,1065,17,95.000000,  
150,2,1,19,0,0,0,683,1265,73,16,-1,
151,3,1,19,1,0,0,683,1265,73,16,-1,
152,4,1,19,1,1,0,683,1265,73,16,-1,
153,5,1,19,1,1,1,683,1265,73,16,94.931915,INJECTION
154,2,1,20,0,0,0,703,1299,29,16,-1,
155,3,1,20,1,0,0,703,1299,29,16,-1,
156,4,1,20,1,1,0,703,1299,29,16,-1,
157,5,1,20,1,1,1,703,1299,29,16,33.622894,"""ARE"
158,2,1,21,0,0,0,357,1302,415,39,-1,
159,3,1,21,1,0,0,357,1302,415,39,-1,
160,4,1,21,1,1,0,357,1302,415,39,-1,
161,5,1,21,1,1,1,357,1303,98,22,71.416718,1/2°-CI-SS
162,5,1,21,1,1,2,465,1306,30,14,95.465149,316
163,5,1,21,1,1,3,505,1306,57,15,11.179886,TUBING
164,5,1,21,1,1,4,690,1302,82,39,0.808037,cl-11203)
165,2,1,22,0,0,0,562,1323,297,188,-1,
166,3,1,22,1,0,0,562,1323,297,188,-1,
167,4,1,22,1,1,0,562,1323,111,25,-1,
168,5,1,22,1,1,1,562,1323,111,25,95.000000,  
169,4,1,22,1,2,0,653,1348,28,16,-1,
170,5,1,22,1,2,1,653,1348,28,16,95.000000, 
171,4,1,22,1,3,0,653,1364,28,26,-1,
172,5,1,22,1,3,1,653,1364,28,26,95.000000, 
173,4,1,22,1,4,0,653,1390,28,50,-1,
174,5,1,22,1,4,1,653,1390,28,50,95.000000,  
175,4,1,22,1,5,0,624,1440,128,40,-1,
176,5,1,22,1,5,1,624,1440,128,40,95.000000,  
177,4,1,22,1,6,0,622,1480,237,31,-1,
178,5,1,22,1,6,1,622,1480,237,31,95.000000, 
179,2,1,23,0,0,0,954,1348,19,43,-1,
180,3,1,23,1,0,0,954,1348,19,43,-1,
181,4,1,23,1,1,0,954,1348,19,43,-1,
182,5,1,23,1,1,1,954,1348,19,43,95.000000,    
183,2,1,24,0,0,0,354,1340,788,67,-1,
184,3,1,24,1,0,0,354,1340,788,67,-1,
185,4,1,24,1,1,0,354,1340,783,16,-1,
186,5,1,24,1,1,1,354,1340,48,16,95.133331,SCALE
187,5,1,24,1,1,2,414,1340,74,16,79.298820,INHIBITOR
188,5,1,24,1,1,3,1088,1340,49,15,94.464966,PIPING
189,4,1,24,1,2,0,457,1364,685,20,-1,
190,5,1,24,1,2,1,457,1368,29,15,82.186752,SEE
191,5,1,24,1,2,2,496,1368,74,15,82.186752,CHEWICAL
192,5,1,24,1,2,3,782,1364,30,16,85.226219,SEE
193,5,1,24,1,2,4,822,1364,74,16,72.907692,CHEMICAL
194,5,1,24,1,2,5,1087,1369,55,15,64.962509,TUBING
195,4,1,24,1,3,0,459,1382,489,25,-1,
196,5,1,24,1,3,1,459,1388,75,15,91.660263,INJECTION
197,5,1,24,1,3,2,544,1388,50,15,55.156231,DETAIL
198,5,1,24,1,3,3,603,1386,19,21,68.566933,2
199,5,1,24,1,3,4,784,1384,75,16,95.984711,INJECTION
200,5,1,24,1,3,5,870,1384,48,16,71.814835,DETAIL
201,5,1,24,1,3,6,928,1382,20,21,71.814835,$2
202,2,1,25,0,0,0,456,1411,166,72,-1,
203,3,1,25,1,0,0,456,1415,166,64,-1,
204,4,1,25,1,1,0,456,1418,75,15,-1,
205,5,1,25,1,1,1,456,1418,75,15,50.031303,INJECTION
206,4,1,25,1,2,0,456,1411,150,69,-1,
207,5,1,25,1,2,1,456,1424,42,36,88.599663,QUILL
208,5,1,25,1,2,2,558,1411,48,69,65.151291,WA
209,4,1,25,1,3,0,456,1414,166,69,-1,
210,5,1,25,1,3,1,456,1451,89,21,43.284851,(cl-11201)
211,5,1,25,1,3,2,558,1414,64,69,35.181465,WA
212,2,1,26,0,0,0,347,1481,181,18,-1,
213,3,1,26,1,0,0,347,1481,181,18,-1,
214,4,1,26,1,1,0,347,1481,181,18,-1,
215,5,1,26,1,1,1,347,1481,181,18,38.200844,18°-PF—-D1—1053-2H1
216,2,1,27,0,0,0,180,1440,167,68,-1,
217,3,1,27,1,0,0,180,1440,167,68,-1,
